site,lat,lon,subregion
Y1364,24.555795,-81.561932,Lower Keys
Y1365,24.555466,-81.680155,Lower Keys
Y1366,24.554331,-81.683661,Lower Keys
Y1367,24.552507,-81.69243,Lower Keys
Y1368,24.550964,-81.703015,Lower Keys
Y1369,24.550643,-81.704762,Lower Keys
Y1370,24.548307,-81.583543,Lower Keys
Y1371,24.54814,-81.579868,Lower Keys
Y1372,24.547907,-81.532872,Lower Keys
Y1373,24.547201,-81.573434,Lower Keys
Y1374,24.542955,-81.603175,Lower Keys
Y1375,24.539015,-81.57583,Lower Keys
Y1376,24.536583,-81.615829,Lower Keys
Y1377,24.531634,-81.611362,Lower Keys
Y1378,24.531295,-81.607998,Lower Keys
Y1379,24.531115,-81.48546,Lower Keys
Y1380,24.52749,-81.630593,Lower Keys
Y1381,24.523305,-81.646156,Lower Keys
Y1382,24.522596,-81.649312,Lower Keys
Y1383,24.521181,-81.662215,Lower Keys
Y1384,24.518368,-81.99986,Lower Keys
Y1385,24.511425,-81.567281,Lower Keys
Y1386,24.511268,-81.967169,Lower Keys
Y1387,24.510624,-81.583259,Lower Keys
Y1388,24.509459,-81.724273,Lower Keys
Y1389,24.50935,-81.721066,Lower Keys
Y1390,24.50932,-81.71858,Lower Keys
Y1391,24.509197,-81.665831,Lower Keys
Y1392,24.506675,-81.739556,Lower Keys
Y1393,24.502674,-81.672853,Lower Keys
Y1394,24.502281,-81.615878,Lower Keys
Y1395,24.496586,-81.732703,Lower Keys
Y1396,24.488597,-81.8855,Lower Keys
Y1397,24.487009,-81.837751,Lower Keys
Y1399,24.482481,-81.705192,Lower Keys
Y1400,24.481956,-81.739062,Lower Keys
Y1401,24.48189,-81.817371,Lower Keys
Y1403,24.480873,-81.776784,Lower Keys
Y1404,24.480528,-81.89828,Lower Keys
Y1405,24.479391,-81.889289,Lower Keys
Y1406,24.478853,-81.957971,Lower Keys
Y1407,24.478548,-81.727382,Lower Keys
Y1408,24.477975,-81.898473,Lower Keys
Y1409,24.476177,-81.894269,Lower Keys
Y1410,24.476077,-81.952584,Lower Keys
Y1411,24.473902,-81.913396,Lower Keys
Y1413,24.473451,-81.881378,Lower Keys
Y1414,24.4735,-81.94992,Lower Keys
Y1417,24.468747,-81.863873,Lower Keys
Y1419,24.46493,-81.876164,Lower Keys
Y1421,24.462467,-81.853037,Lower Keys
Y1423,24.446781,-81.987152,Lower Keys
Y1424,24.446569,-81.948382,Lower Keys
Y1426,24.721847,-82.82235,Tortugas--Dry Tortugas NP
Y1427,24.574269,-82.925526,Tortugas--Dry Tortugas NP
Y1428,24.646938,-82.856799,Tortugas--Dry Tortugas NP
Y1429,24.577022,-82.942675,Tortugas--Dry Tortugas NP
Y1430,24.708719,-82.852406,Tortugas--Dry Tortugas NP
Y1431,24.712057,-82.88398,Tortugas--Dry Tortugas NP
Y1432,24.671565,-82.904731,Tortugas--Dry Tortugas NP
Y1433,24.589028,-82.903362,Tortugas--Dry Tortugas NP
Y1434,24.713756,-82.892406,Tortugas--Dry Tortugas NP
Y1435,24.59275,-82.881084,Tortugas--Dry Tortugas NP
Y1436,24.707412,-82.802784,Tortugas--Dry Tortugas NP
Y1437,24.70216,-82.916937,Tortugas--Dry Tortugas NP
Y1438,24.679424,-82.894358,Tortugas--Dry Tortugas NP
Y1439,24.653793,-82.922125,Tortugas--Dry Tortugas NP
Y1441,24.700342,-82.917898,Tortugas--Dry Tortugas NP
Y1442,24.567552,-82.923769,Tortugas--Dry Tortugas NP
Y1443,24.696109,-82.931174,Tortugas--Dry Tortugas NP
Y1445,24.718555,-82.833175,Tortugas--Dry Tortugas NP
Y1446,24.723774,-82.792551,Tortugas--Dry Tortugas NP
Y1447,24.596808,-82.956432,Tortugas--Dry Tortugas NP
Y1448,24.718957,-82.873705,Tortugas--Dry Tortugas NP
Y1449,24.587022,-82.919129,Tortugas--Dry Tortugas NP
Y1450,24.60476,-82.94535,Tortugas--Dry Tortugas NP
Y1451,24.611745,-82.962521,Tortugas--Dry Tortugas NP
Y1452,24.630655,-82.931154,Tortugas--Dry Tortugas NP
Y1453,24.638382,-82.86071,Tortugas--Dry Tortugas NP
Y1454,24.702022,-82.838608,Tortugas--Dry Tortugas NP
Y1455,24.704028,-82.841622,Tortugas--Dry Tortugas NP
Y1456,24.678157,-82.917128,Tortugas--Dry Tortugas NP
Y1457,24.597424,-82.958787,Tortugas--Dry Tortugas NP
Y1458,24.560794,-82.922673,Tortugas--Dry Tortugas NP
Y1459,24.630208,-82.859571,Tortugas--Dry Tortugas NP
Y1460,24.665181,-82.783671,Tortugas--Dry Tortugas NP
Y1461,24.634636,-82.826102,Tortugas--Dry Tortugas NP
Y1462,24.586526,-82.957628,Tortugas--Dry Tortugas NP
Y1463,24.58891,-82.94815,Tortugas--Dry Tortugas NP
Y1465,24.590957,-82.954446,Tortugas--Dry Tortugas NP
Y1466,24.652031,-82.907814,Tortugas--Dry Tortugas NP
Y1467,24.709355,-82.823281,Tortugas--Dry Tortugas NP
Y1468,24.657817,-82.812324,Tortugas--Dry Tortugas NP
Y1469,24.703947,-82.823296,Tortugas--Dry Tortugas NP
Y1470,24.639477,-82.814986,Tortugas--Dry Tortugas NP
Y1471,24.595067,-82.974873,Tortugas--Dry Tortugas NP
Y1472,24.627498,-82.877838,Tortugas--Dry Tortugas NP
Y1473,24.586051,-82.893884,Tortugas--Dry Tortugas NP
Y1474,24.623056,-82.899713,Tortugas--Dry Tortugas NP
Y1475,24.61599,-82.948211,Tortugas--Dry Tortugas NP
Y1476,24.701692,-82.811636,Tortugas--Dry Tortugas NP
Y1477,24.611013,-82.95616,Tortugas--Dry Tortugas NP
Y1478,24.610396,-82.926892,Tortugas--Dry Tortugas NP
Y1479,24.67028,-82.892027,Tortugas--Dry Tortugas NP
Y1480,24.593823,-82.916765,Tortugas--Dry Tortugas NP
Y1481,24.632472,-82.857586,Tortugas--Dry Tortugas NP
Y1482,24.624188,-82.834759,Tortugas--Dry Tortugas NP
Y1483,24.601502,-82.986003,Tortugas--Dry Tortugas NP
Y1484,24.623421,-82.860426,Tortugas--Dry Tortugas NP
Y1485,24.708684,-82.791587,Tortugas--Dry Tortugas NP
Y2002,27.151198,-80.13836,Martin
Y2003,27.136435,-80.139829,Martin
Y2004,27.13446,-80.132434,Martin
Y2005,27.13357,-80.134459,Martin
Y2006,27.129984,-80.135196,Martin
Y2007,27.120036,-80.135139,Martin
Y2008,27.113233,-80.12723,Martin
Y2010,27.109763,-80.133584,Martin
Y2011,27.105068,-80.124087,Martin
Y2012,27.030213,-80.065694,Martin
Y2013,27.010372,-80.068882,Martin
Y2014,26.990482,-80.064511,North Palm Beach
Y2015,26.987401,-80.06513,North Palm Beach
Y2022,26.716652,-80.019116,South Palm Beach
Y2024,26.698508,-80.017711,South Palm Beach
Y2027,26.680962,-80.018589,South Palm Beach
